Pattern	Desired Output	Network Output
1	0.000000	0.201434
2	1.000000	0.632747
3	1.000000	0.632747
4	1.000000	0.632747
5	0.000000	0.632747
6	1.000000	0.632747
7	1.000000	0.632747
8	1.000000	0.632747
9	0.000000	0.632747
10	1.000000	0.632747
11	1.000000	0.632747
12	1.000000	0.631413
13	0.000000	0.632747
14	0.000000	0.632747
15	0.000000	0.632747
16	1.000000	0.632747
17	0.000000	0.632717
18	1.000000	0.631734
19	1.000000	0.632086
20	1.000000	0.632747
21	1.000000	0.632746
22	1.000000	0.632747
23	1.000000	0.632747
24	1.000000	0.632745
25	1.000000	0.632745
26	0.000000	0.632746
27	0.000000	0.587783
28	1.000000	0.625433
29	0.000000	0.632742
30	0.000000	0.531759
31	1.000000	0.631165
32	1.000000	0.630261
33	1.000000	0.522602
34	0.000000	0.632741
35	0.000000	0.522602
36	0.000000	0.626103
37	1.000000	0.630261
38	1.000000	0.631311
39	1.000000	0.626103
40	1.000000	0.632439
41	1.000000	0.277642
42	1.000000	0.619264
43	0.000000	0.632714
44	1.000000	0.518369
45	1.000000	0.306623
46	0.000000	0.437316
47	1.000000	0.306623
48	0.000000	0.208511
49	0.000000	0.310527
50	1.000000	0.630784
51	1.000000	0.632207
52	0.000000	0.549678
53	1.000000	0.508695
54	1.000000	0.628096
55	0.000000	0.279248
56	0.000000	0.289053
57	0.000000	0.491764
58	0.000000	0.628114
59	0.000000	0.623251
60	0.000000	0.201600
61	0.000000	0.618416
62	1.000000	0.264302
63	0.000000	0.572313
64	1.000000	0.201606
65	0.000000	0.201752
66	0.000000	0.201671
67	0.000000	0.125502
68	0.000000	0.580155
69	0.000000	0.454656
70	1.000000	0.580155
71	0.000000	0.278090
72	0.000000	0.269607
73	0.000000	0.269443
74	1.000000	0.262699
75	0.000000	0.262699
76	1.000000	0.262699
77	1.000000	0.506307
78	1.000000	0.267083
79	0.000000	0.201604
80	0.000000	0.201525
81	0.000000	0.262836
82	0.000000	0.262207
83	1.000000	0.262207
84	0.000000	0.262207
85	0.000000	0.262207
86	0.000000	0.262207
87	0.000000	0.262207
88	1.000000	0.262207
89	0.000000	0.262207
90	0.000000	0.262207
91	0.000000	0.262207
92	0.000000	0.262207
93	0.000000	0.201604
94	0.000000	0.262389
95	1.000000	0.201604
96	0.000000	0.201221
97	0.000000	0.270271
98	1.000000	0.262377
99	0.000000	0.323276
100	0.000000	0.261861
101	0.000000	0.201604
102	0.000000	0.261814
103	0.000000	0.224013
104	0.000000	0.142159
105	0.000000	0.201604
106	0.000000	0.263288
107	0.000000	0.067989
108	0.000000	0.052981
109	0.000000	0.052981
110	0.000000	0.262581
111	0.000000	0.262581
112	0.000000	0.262581
113	0.000000	0.262581
114	1.000000	0.262581
115	0.000000	0.262581
116	0.000000	0.262581
117	0.000000	0.262581
118	0.000000	0.262581
119	0.000000	0.262581
120	1.000000	0.262581
121	0.000000	0.262581
122	0.000000	0.051095
123	0.000000	0.262581
124	1.000000	0.260025
125	0.000000	0.201532
126	1.000000	0.191742
127	0.000000	0.094301
128	0.000000	0.201566
129	0.000000	0.085419
130	0.000000	0.180660
131	0.000000	0.183163
132	0.000000	0.199246
133	0.000000	0.261386
134	0.000000	0.076128
135	0.000000	0.201604
136	0.000000	0.182459
137	0.000000	0.201604
138	0.000000	0.049808
139	0.000000	0.201599
140	0.000000	0.145935
141	1.000000	0.049846
142	1.000000	0.201355
143	0.000000	0.049427
144	0.000000	0.194099
145	0.000000	0.114348
146	1.000000	0.103595
147	0.000000	0.103595
148	0.000000	0.103595
149	0.000000	0.261359
150	0.000000	0.070522
151	0.000000	0.201598
152	0.000000	0.050063
153	0.000000	0.201470
154	0.000000	0.190966
155	0.000000	0.257357
156	0.000000	0.149220
157	0.000000	0.201604
