Pattern	Desired Output	Network Output
1	0.000000	0.004144
2	1.000000	0.686776
3	1.000000	0.686211
4	1.000000	0.686801
5	0.000000	0.689823
6	1.000000	0.687669
7	1.000000	0.705233
8	1.000000	0.686771
9	0.000000	0.715072
10	1.000000	0.686871
11	1.000000	0.712554
12	1.000000	0.020738
13	0.000000	0.744115
14	0.000000	0.764665
15	0.000000	0.697924
16	1.000000	0.687719
17	0.000000	0.780777
18	1.000000	0.779891
19	1.000000	0.000000
20	1.000000	0.780760
21	1.000000	0.778134
22	1.000000	0.778095
23	1.000000	0.772015
24	1.000000	0.757875
25	1.000000	0.476085
26	0.000000	0.780779
27	0.000000	0.587659
28	1.000000	0.626723
29	0.000000	0.603428
30	0.000000	0.778034
31	1.000000	0.578407
32	1.000000	0.754237
33	1.000000	0.395665
34	0.000000	0.778937
35	0.000000	0.395665
36	0.000000	0.433554
37	1.000000	0.754237
38	1.000000	0.435720
39	1.000000	0.433554
40	1.000000	0.431756
41	1.000000	0.292364
42	1.000000	0.406972
43	0.000000	0.418450
44	1.000000	0.360946
45	1.000000	0.223195
46	0.000000	0.133190
47	1.000000	0.223195
48	0.000000	0.739533
49	0.000000	0.321641
50	1.000000	0.264227
51	1.000000	0.477803
52	0.000000	0.420855
53	1.000000	0.372855
54	1.000000	0.445070
55	0.000000	0.302106
56	0.000000	0.308269
57	0.000000	0.363406
58	0.000000	0.472592
59	0.000000	0.415298
60	0.000000	0.000000
61	0.000000	0.406807
62	1.000000	0.272219
63	0.000000	0.406020
64	1.000000	0.171067
65	0.000000	0.256950
66	0.000000	0.146577
67	0.000000	0.026462
68	0.000000	0.385208
69	0.000000	0.388917
70	1.000000	0.385208
71	0.000000	0.347417
72	0.000000	0.342385
73	0.000000	0.298691
74	1.000000	0.278270
75	0.000000	0.278270
76	1.000000	0.278270
77	1.000000	0.376147
78	1.000000	0.302395
79	0.000000	0.256918
80	0.000000	0.256040
81	0.000000	0.290603
82	0.000000	0.198753
83	1.000000	0.198753
84	0.000000	0.198753
85	0.000000	0.198753
86	0.000000	0.198753
87	0.000000	0.198753
88	1.000000	0.198753
89	0.000000	0.198753
90	0.000000	0.198753
91	0.000000	0.198753
92	0.000000	0.198753
93	0.000000	0.000000
94	0.000000	0.289752
95	1.000000	0.256918
96	0.000000	0.171991
97	0.000000	0.320876
98	1.000000	0.203209
99	0.000000	0.363036
100	0.000000	0.288064
101	0.000000	0.000000
102	0.000000	0.272712
103	0.000000	0.354462
104	0.000000	0.256904
105	0.000000	0.000000
106	0.000000	0.284563
107	0.000000	0.161477
108	0.000000	0.000024
109	0.000000	0.000024
110	0.000000	0.208462
111	0.000000	0.208462
112	0.000000	0.208462
113	0.000000	0.208462
114	1.000000	0.208462
115	0.000000	0.208462
116	0.000000	0.208462
117	0.000000	0.208462
118	0.000000	0.208462
119	0.000000	0.208462
120	1.000000	0.208462
121	0.000000	0.208462
122	0.000000	0.256322
123	0.000000	0.208462
124	1.000000	0.299345
125	0.000000	0.256918
126	1.000000	0.116816
127	0.000000	0.257869
128	0.000000	0.256918
129	0.000000	0.000001
130	0.000000	0.000024
131	0.000000	0.256434
132	0.000000	0.256489
133	0.000000	0.257252
134	0.000000	0.285256
135	0.000000	0.244463
136	0.000000	0.256116
137	0.000000	0.256544
138	0.000000	0.000025
139	0.000000	0.256918
140	0.000000	0.256918
141	1.000000	0.254747
142	1.000000	0.256918
143	0.000000	0.326254
144	0.000000	0.256918
145	0.000000	0.256918
146	1.000000	0.000071
147	0.000000	0.000071
148	0.000000	0.000071
149	0.000000	0.237163
150	0.000000	0.256893
151	0.000000	0.256918
152	0.000000	0.026397
153	0.000000	0.256918
154	0.000000	0.256918
155	0.000000	0.251806
156	0.000000	0.256917
157	0.000000	0.081067
158	0.000000	0.249822
159	0.000000	0.256826
160	0.000000	0.256800
161	0.000000	0.256918
162	0.000000	0.256918
163	0.000000	0.008356
164	0.000000	0.256917
165	0.000000	0.255872
166	0.000000	0.000000
167	0.000000	0.000000
168	0.000000	0.000000
169	1.000000	0.000000
170	0.000000	0.000000
171	1.000000	0.000024
172	0.000000	0.000024
173	0.000000	0.256918
174	0.000000	0.256510
175	0.000000	0.256521
176	0.000000	0.256467
177	0.000000	0.256918
178	0.000000	0.256917
179	0.000000	0.000000
180	0.000000	0.202285
181	0.000000	0.256916
182	1.000000	0.000002
183	0.000000	0.231684
184	0.000000	0.004885
185	0.000000	0.231102
186	0.000000	0.256918
187	0.000000	0.004598
188	0.000000	0.238681
189	0.000000	0.254926
190	0.000000	0.256891
191	0.000000	0.000000
192	0.000000	0.000000
193	0.000000	0.000000
194	0.000000	0.000000
195	0.000000	0.000000
196	0.000000	0.000000
197	1.000000	0.256260
198	0.000000	0.256876
199	0.000000	0.256876
200	0.000000	0.255863
201	0.000000	0.249007
202	0.000000	0.401787
203	0.000000	0.000001
204	0.000000	0.000001
205	0.000000	0.000001
206	0.000000	0.000001
207	0.000000	0.000001
208	0.000000	0.078243
209	0.000000	0.000024
210	1.000000	0.000038
211	0.000000	0.255986
212	0.000000	0.027883
213	0.000000	0.254365
214	1.000000	0.170824
215	0.000000	0.000097
216	0.000000	0.000024
217	0.000000	0.000024
218	0.000000	0.955620
219	0.000000	0.000029
220	0.000000	0.000029
221	0.000000	0.256519
222	0.000000	0.000025
223	0.000000	0.000022
224	0.000000	0.000025
225	0.000000	0.000024
226	0.000000	0.068072
227	0.000000	0.068072
228	0.000000	0.255843
229	0.000000	0.068072
230	0.000000	0.068072
231	0.000000	0.000031
232	0.000000	0.000024
233	0.000000	0.000019
234	1.000000	0.000024
235	0.000000	0.000024
236	0.000000	0.000024
237	0.000000	0.000024
238	0.000000	0.000024
239	0.000000	0.000024
240	0.000000	0.000024
241	0.000000	0.002222
